label,count,id,mouser,newark,url,description
"C1, C2, C3, C4",20,06035C104KAT2A,581-06035C104KAT2A,,https://componentsearchengine.com/part-view/06035C104KAT2A/AVX,"Capacitor MLCC 0603 100nF 50V AVX 0603 Standard 100nF Ceramic Multilayer Capacitor, 50 V dc X7R Dielectric 10% SMD"
"R1, R2",10,CRGCQ0603J330R,279-CRGCQ0603J330R,,https://componentsearchengine.com/model-request/CRGCQ0603J330R/TE%20Connectivity,Thick Film Resistors - SMD CRGCQ 0603 330R 5% SMD Resistor
R4,5,RP0603BRD071KL,603-RP0603BRD071KL,,https://componentsearchengine.com/model-request/RP0603BRD071KL/YAGEO,Thin Film Resistors - SMD 1/10 Wat 1K Ohm 0.1% 0603 AEC-Q200
R3,5,WSL2512R0120FEB,71-WSL2512-0.012-E3,,https://componentsearchengine.com/part-view/WSL2512R0120FEB/Vishay,Current Sense Resistors - SMD 1watt .012ohms 1%
U1,6,R5460N233AF-TR-FE,848-R5460N233AFTRFE,,https://componentsearchengine.com/part-view/R5460N233AF-TR-FE/Ricoh,Battery Management 2-Cell Li-ion Protection IC
"Q1, Q2",12,IRF7458TRPBF,942-IRF7458TRPBF,,https://componentsearchengine.com/part-view/IRF7458TRPBF/Infineon,MOSFET MOSFT 30V 14A 9mOhm 39nC
"J1, J2, J3, J4, J5, J6",32,1042,534-1042,,https://componentsearchengine.com/part-view/1042/Keystone%20Electronics,"Cylindrical Battery Contacts, Clips, Holders & Springs 18650 S/M PC BATTERY HOLDER"
-,24,PRT-08084,474-PRT-08084,,https://componentsearchengine.com/model-request/PRT-08084/SparkFun,SparkFun Accessories Screw Terminals 3.5mm Pitch (2-Pin)
-,20,PRT-12895,474-PRT-12895,,https://componentsearchengine.com/model-request/PRT-12895/SparkFun,SparkFun Accessories Lithium Ion Battery - 18650 Cell (2600mAh)
J7,5,S2B-PH-SM4-TB(LF)(SN),,38K8067,https://componentsearchengine.com/part-view/S2B-PH-SM4-TB(LF)(SN)/JST%20(JAPAN%20SOLDERLESS%20TERMINALS),Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry SMD T/R
