Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2, BT3, BT4, BT5",SOLAR_SM141K06L,5,SM141K06L,
C1,0402,1,0.1uF,
C2,0805,1,10uF,
"C3, C4",0603,2,10nF,
"D1, D2, D3, D4, D5, D6",D_PowerDI-123,6,SBD,
"D7, D8",D_SMB,2,B220,
J1,MOLEX_0530470810,1,0530470810,
"L1, L2",0603,2,TBD,
"Q1, Q2, Q4, Q5",SOT-23,4,BSS138,
"Q3, Q6",SOT-363_SC-70-6,2,MBT2222ADW1T1,
"R1, R2, R3, R4, R5",0402,5,0,
"R10, R17",0402,2,10K,
"R11, R18",0603,2,100K,
"R12, R13, R6",0603,3,0,
"R14, R16, R7, R9",0603,4,10K,
"R15, R8",0603,2,600,
U1,IC_XTR111AIDGQR,1,DRV8830DGQ,
